Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
≥1 Dose Varicella,,States/Local Areas,Louisiana,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",83.2,74.2 to 92.2,126
≥1 Dose Varicella,,States/Local Areas,Maine,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",92.1,86.2 to 98.0,63
≥1 Dose Varicella,,States/Local Areas,Maryland,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",94.1,89.9 to 98.3,382
≥1 Dose Varicella,,States/Local Areas,Massachusetts,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",92.6,87.8 to 97.4,206
≥1 Dose Varicella,,States/Local Areas,Michigan,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",94.2,90.5 to 97.8,147
≥1 Dose Varicella,,States/Local Areas,Minnesota,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",93.2,86.5 to 99.8,123
≥1 Dose Varicella,,States/Local Areas,Mississippi,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",93.8,87.5 to 100.0,79
≥1 Dose Varicella,,States/Local Areas,Missouri,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",91.9,85.7 to 98.2,128
≥1 Dose Varicella,,States/Local Areas,Montana,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",88.2,81.4 to 95.1,109
≥1 Dose Varicella,,States/Local Areas,NY-City of New York,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",92.8,89.3 to 96.4,341
≥1 Dose Varicella,,States/Local Areas,NY-Rest of state,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",96.8,93.4 to 100.0,125
≥1 Dose Varicella,,States/Local Areas,Nebraska,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",95.5,89.7 to 100.0,90
≥1 Dose Varicella,,States/Local Areas,Nevada,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",92.6,88.1 to 97.1,200
≥1 Dose Varicella,,States/Local Areas,New Hampshire,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",97.6,94.3 to 100.0,72
≥1 Dose Varicella,,States/Local Areas,New Jersey,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",96.9,94.5 to 99.2,167
≥1 Dose Varicella,,States/Local Areas,New Mexico,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",88.6,82.1 to 95.0,164
≥1 Dose Varicella,,States/Local Areas,New York,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",94.3,91.7 to 97.0,466
