Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Hep B,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,7 Months,77.5,72.8 to 81.6,525
Polio,≥2 Doses,States/Local Areas,North Dakota,2015,Age,5 Months,82.3,75.2 to 87.6,217
Polio,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,5 Months,82.9,78.3 to 86.7,444
DTaP,≥4 Doses,States/Local Areas,North Dakota,2015,Age,24 Months,85.7,79.6 to 90.7,217
DTaP,≥4 Doses,States/Local Areas,North Dakota,2015-2016,Age,24 Months,83.5,79.0 to 87.5,444
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016,Age,24 Months,81.1,74.3 to 87.0,227
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016-2017,Age,24 Months,79.1,74.4 to 83.5,525
DTaP,≥4 Doses,States/Local Areas,North Dakota,2014,Age,24 Months,85.2,78.2 to 90.9,230
DTaP,≥4 Doses,States/Local Areas,North Dakota,2014-2015,Age,24 Months,85.4,80.9 to 89.4,447
≥1 Dose Varicella,,States/Local Areas,North Dakota,2013,Age,13 Months,59.1,47.4 to 69.9,237
≥1 Dose Varicella,,States/Local Areas,North Dakota,2013-2014,Age,13 Months,61.2,59.1 to 63.2,467
Polio,≥2 Doses,States/Local Areas,North Dakota,2018,Age,5 Months,85.6,79.3 to 90.2,293
Polio,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,5 Months,85.1,80.8 to 88.6,556
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Other,86.4,76.5 to 96.3,42
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Private Insurance Only,91.8,89.1 to 94.5,562
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Insurance Coverage,Any Medicaid,85.9,80.4 to 91.4,209
Hep A,≥1 Dose,States/Local Areas,North Dakota,2019,Age,35 Months,93.6,88.7 to 96.9,263
≥1 Dose Varicella,,States/Local Areas,North Dakota,2012,Age,13 Months,62.3,56.7 to 67.6,294
≥1 Dose Varicella,,States/Local Areas,North Dakota,2014,Age,13 Months,63.1,55.0 to 70.5,230
≥1 Dose Varicella,,States/Local Areas,North Dakota,2014-2015,Age,13 Months,65.3,59.8 to 70.4,447
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014,Age,35 Months,86.4,78.9 to 92.2,230
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,35 Months,87.8,82.7 to 92.0,447
Hep B,≥3 Doses,States/Local Areas,North Dakota,2019,Age,7 Months,83.1,76.8 to 87.9,263
Hep A,≥2 Doses,States/Local Areas,North Dakota,2015,Age,35 Months,88.7,81.7 to 93.9,217
Hep A,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,35 Months,86.2,80.1 to 91.2,444
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016,Age,35 Months,82.2,70.9 to 91.0,227
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2017,Age,35 Months,79.9,73.5 to 85.7,525
Hep B,≥3 Doses,States/Local Areas,North Dakota,2018,Age,7 Months,81.2,74.3 to 86.5,293
Hep B,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,7 Months,82.1,77.6 to 85.9,556
Hep B,≥3 Doses,States/Local Areas,North Dakota,2017,Age,7 Months,74.1,67.0 to 80.1,298
Hep B,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,7 Months,77.5,72.7 to 81.7,591
Polio,≥2 Doses,States/Local Areas,North Dakota,2011,Age,7 Months,89,87.3 to 90.5,299
Polio,≥2 Doses,States/Local Areas,North Dakota,2012,Age,7 Months,88.9,84.0 to 92.4,294
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,Hispanic,81.1,67.7 to 94.4,48
Polio,≥2 Doses,States/Local Areas,North Dakota,2019,Age,5 Months,84.6,78.2 to 89.4,263
Hep B,≥3 Doses,States/Local Areas,North Dakota,2015,Age,7 Months,79.7,72.4 to 85.4,217
Hep B,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,7 Months,80.2,75.4 to 84.3,444
Hep B,≥3 Doses,States/Local Areas,North Dakota,2014,Age,7 Months,81.9,75.5 to 86.9,230
Hep B,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,7 Months,80.8,76.1 to 84.7,447
Polio,≥2 Doses,States/Local Areas,North Dakota,2017,Age,5 Months,78.5,71.8 to 84.0,298
Polio,≥2 Doses,States/Local Areas,North Dakota,2017-2018,Age,5 Months,81.9,77.5 to 85.7,591
Polio,≥2 Doses,States/Local Areas,North Dakota,2016,Age,5 Months,83.6,77.4 to 88.3,227
Polio,≥2 Doses,States/Local Areas,North Dakota,2016-2017,Age,5 Months,81.1,76.7 to 84.9,525
Hep A,≥1 Dose,States/Local Areas,North Dakota,2018,Age,35 Months,94.2,88.4 to 97.7,293
Hep A,≥1 Dose,States/Local Areas,North Dakota,2018-2019,Age,35 Months,94,90.4 to 96.6,556
Hep A,≥2 Doses,States/Local Areas,North Dakota,2013,Age,24 Months,47.6,39.8 to 56.1,237
Hep A,≥2 Doses,States/Local Areas,North Dakota,2013-2014,Age,24 Months,49.7,44.1 to 55.7,467
DTaP,≥4 Doses,States/Local Areas,North Dakota,2018,Age,19 Months,72.4,64.4 to 79.1,293
DTaP,≥4 Doses,States/Local Areas,North Dakota,2018-2019,Age,19 Months,94.4,91.3 to 96.5,556
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017,Age,19 Months,67.5,60.2 to 74.1,298
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017-2018,Age,19 Months,69.9,64.5 to 74.8,591
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016,Age,19 Months,70.9,63.2 to 77.5,227
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016-2017,Age,19 Months,69.2,63.9 to 74.1,525
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,Hispanic,87.5,75.4 to 99.7,48
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",93.7,88.5 to 98.8,123
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"White, Non-Hispanic",94.9,93.0 to 96.8,637
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Principal City,95.4,92.5 to 98.3,285
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Non-Principal City,92,86.8 to 97.3,124
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a Non-MSA,93.9,91.2 to 96.5,421
PCV,≥2 Doses,States/Local Areas,North Dakota,2017,Age,5 Months,77.2,70.4 to 82.9,298
PCV,≥2 Doses,States/Local Areas,North Dakota,2017-2018,Age,5 Months,81.6,77.1 to 85.4,591
PCV,≥2 Doses,States/Local Areas,North Dakota,2019,Age,5 Months,87.8,81.6 to 92.1,263
PCV,≥2 Doses,States/Local Areas,North Dakota,2018,Age,5 Months,86.3,79.8 to 90.9,293
PCV,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,5 Months,87,82.8 to 90.4,556
Hib,≥3 Doses,States/Local Areas,North Dakota,2019,Age,35 Months,92,86.9 to 95.6,263
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014,Age,24 Months,51.7,43.8 to 60.2,230
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,24 Months,47.8,42.2 to 53.8,447
Hep A,≥2 Doses,States/Local Areas,North Dakota,2015,Age,24 Months,44.1,36.5 to 52.6,217
Hep A,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,24 Months,46.1,40.5 to 52.0,444
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Overall,Overall,94.2,92.3 to 96.0,830
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014,Age,35 Months,93.3,88.8 to 96.5,230
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2015,Age,35 Months,92.9,89.9 to 95.3,447
Hep A,≥1 Dose,States/Local Areas,North Dakota,2013,Age,35 Months,91.4,86.0 to 95.2,237
Hep A,≥1 Dose,States/Local Areas,North Dakota,2013-2014,Age,35 Months,92.3,89.0 to 95.0,467
DTaP,≥4 Doses,States/Local Areas,North Dakota,2012,Age,24 Months,81.5,75.2 to 87.0,294
DTaP,≥4 Doses,States/Local Areas,North Dakota,2011,Age,24 Months,78.5,71.9 to 84.4,299
DTaP,≥4 Doses,States/Local Areas,North Dakota,2019,Age,19 Months,68.2,60.5 to 75.0,263
Hep B,≥3 Doses,States/Local Areas,North Dakota,2013,Age,7 Months,76.7,62.2 to 86.7,237
Hep B,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,7 Months,79.4,72.6 to 84.8,467
Hep B,≥3 Doses,States/Local Areas,North Dakota,2011,Age,7 Months,70.4,67.0 to 73.5,299
Hep B,≥3 Doses,States/Local Areas,North Dakota,2012,Age,7 Months,76.7,72.5 to 80.5,294
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Poverty,133% to <400% FPL,94.8,92.2 to 97.4,408
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Poverty,>400% FPL,96.1,93.6 to 98.6,267
DTaP,≥3 Doses,States/Local Areas,North Dakota,2014-2017,Poverty,<133% FPL,90.5,85.5 to 95.4,155
Polio,≥2 Doses,States/Local Areas,North Dakota,2014,Age,5 Months,78.8,71.1 to 84.8,230
Polio,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,5 Months,80.5,77.1 to 83.6,447
Polio,≥2 Doses,States/Local Areas,North Dakota,2013,Age,5 Months,76.5,65.5 to 84.8,237
Polio,≥2 Doses,States/Local Areas,North Dakota,2013-2014,Age,5 Months,77.7,72.5 to 82.1,467
Hep A,≥1 Dose,States/Local Areas,North Dakota,2012,Age,35 Months,93.6,87.7 to 97.3,294
Polio,≥2 Doses,States/Local Areas,North Dakota,2011,Age,5 Months,79.8,76.8 to 82.5,299
Polio,≥2 Doses,States/Local Areas,North Dakota,2012,Age,5 Months,79.8,76.0 to 83.1,294
Hep A,≥1 Dose,States/Local Areas,North Dakota,2015,Age,35 Months,92.4,88.0 to 95.7,217
Hep A,≥1 Dose,States/Local Areas,North Dakota,2015-2016,Age,35 Months,92.7,89.4 to 95.2,444
DTaP,≥4 Doses,States/Local Areas,North Dakota,2013,Age,24 Months,76.3,68.9 to 83.1,237
DTaP,≥4 Doses,States/Local Areas,North Dakota,2013-2014,Age,24 Months,80.9,75.9 to 85.4,467
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016,Age,24 Months,48.2,40.2 to 56.9,227
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2017,Age,24 Months,50.6,45.1 to 56.3,525
Hep A,≥2 Doses,States/Local Areas,North Dakota,2017,Age,24 Months,53.3,46.0 to 60.9,298
Hep A,≥2 Doses,States/Local Areas,North Dakota,2017-2018,Age,24 Months,50.3,44.7 to 56.2,591
Hep A,≥2 Doses,States/Local Areas,North Dakota,2018,Age,24 Months,47.2,38.9 to 56.3,293
Hep A,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,24 Months,56.8,50.9 to 62.9,556
Polio,≥2 Doses,States/Local Areas,North Dakota,2018,Age,7 Months,95,90.9 to 97.3,293
Polio,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,7 Months,92.8,89.6 to 95.1,556
Polio,≥2 Doses,States/Local Areas,North Dakota,2017,Age,7 Months,84.7,78.5 to 89.4,298
Polio,≥2 Doses,States/Local Areas,North Dakota,2017-2018,Age,7 Months,89.7,86.0 to 92.5,591
Polio,≥2 Doses,States/Local Areas,North Dakota,2016,Age,7 Months,92.8,88.5 to 95.6,227
Polio,≥2 Doses,States/Local Areas,North Dakota,2016-2017,Age,7 Months,88.9,85.2 to 91.7,525
Hep B,≥1 Dose,States/Local Areas,North Dakota,2014,Age,3 Months,97,94.1 to 98.5,230
Hep B,≥1 Dose,States/Local Areas,North Dakota,2014-2015,Age,3 Months,97.3,95.5 to 98.3,447
Hep B,≥1 Dose,States/Local Areas,North Dakota,2011,Age,3 Months,97.5,93.0 to 99.2,299
Hep B,≥1 Dose,States/Local Areas,North Dakota,2012,Age,3 Months,95.7,94.4 to 96.8,294
Hep B,≥1 Dose,States/Local Areas,North Dakota,2013,Age,3 Months,91.1,76.0 to 97.1,237
Hep B,≥1 Dose,States/Local Areas,North Dakota,2013-2014,Age,3 Months,94.2,90.1 to 96.6,467
Hep B,≥3 Doses,States/Local Areas,North Dakota,2017,Age,13 Months,89.2,84.1 to 92.8,298
Hep B,≥3 Doses,States/Local Areas,North Dakota,2017-2018,Age,13 Months,91.6,88.5 to 94.0,591
DTaP,≥4 Doses,States/Local Areas,North Dakota,2015,Age,35 Months,91.2,85.9 to 95.1,217
DTaP,≥4 Doses,States/Local Areas,North Dakota,2015-2016,Age,35 Months,90.2,86.1 to 93.5,444
Hep B,≥3 Doses,States/Local Areas,North Dakota,2015,Age,13 Months,95.3,91.7 to 97.4,217
Hep B,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,13 Months,93.2,90.2 to 95.4,444
Hep B,≥3 Doses,States/Local Areas,North Dakota,2016,Age,13 Months,91,86.0 to 94.4,227
Hep B,≥3 Doses,States/Local Areas,North Dakota,2016-2017,Age,13 Months,90.2,86.8 to 92.8,525
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016,Age,35 Months,89.4,82.8 to 94.2,227
DTaP,≥4 Doses,States/Local Areas,North Dakota,2016-2017,Age,35 Months,86.1,81.1 to 90.3,525
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017,Age,35 Months,82.5,75.3 to 88.6,298
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017-2018,Age,35 Months,87.2,82.4 to 91.3,591
Hep B,≥1 Dose,States/Local Areas,North Dakota,2016,Age,3 Months,96.9,93.4 to 98.6,227
Hep B,≥1 Dose,States/Local Areas,North Dakota,2016-2017,Age,3 Months,96.5,94.4 to 97.9,525
Hep B,≥1 Dose,States/Local Areas,North Dakota,2015,Age,3 Months,97.5,94.9 to 98.8,217
Hep B,≥1 Dose,States/Local Areas,North Dakota,2015-2016,Age,3 Months,97.2,95.3 to 98.4,444
Polio,≥2 Doses,States/Local Areas,North Dakota,2014,Age,13 Months,93.8,89.2 to 96.5,230
Polio,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,13 Months,94.8,92.1 to 96.6,447
Polio,≥2 Doses,States/Local Areas,North Dakota,2013,Age,13 Months,91.3,74.0 to 97.5,237
Polio,≥2 Doses,States/Local Areas,North Dakota,2013-2014,Age,13 Months,92.6,86.2 to 96.2,467
Polio,≥2 Doses,States/Local Areas,North Dakota,2011,Age,13 Months,94.9,93.2 to 96.1,299
Polio,≥2 Doses,States/Local Areas,North Dakota,2012,Age,13 Months,93.8,91.9 to 95.2,294
≥1 Dose Varicella,,States/Local Areas,North Dakota,2013,Age,19 Months,86.2,73.0 to 93.5,237
≥1 Dose Varicella,,States/Local Areas,North Dakota,2013-2014,Age,19 Months,87.8,82.3 to 91.7,467
≥1 Dose Varicella,,States/Local Areas,North Dakota,2015,Age,19 Months,90.7,87.5 to 93.1,217
≥1 Dose Varicella,,States/Local Areas,North Dakota,2015-2016,Age,19 Months,89.4,85.6 to 92.3,444
≥1 Dose Varicella,,States/Local Areas,North Dakota,2014,Age,19 Months,89.3,83.4 to 93.3,230
≥1 Dose Varicella,,States/Local Areas,North Dakota,2014-2015,Age,19 Months,90,86.3 to 92.8,447
≥1 Dose MMR,,States/Local Areas,North Dakota,2018,Age,13 Months,69.9,61.7 to 77.0,293
≥1 Dose MMR,,States/Local Areas,North Dakota,2018-2019,Age,13 Months,70.3,64.8 to 75.3,556
≥1 Dose MMR,,States/Local Areas,North Dakota,2017,Age,13 Months,67.1,60.0 to 73.5,298
≥1 Dose MMR,,States/Local Areas,North Dakota,2017-2018,Age,13 Months,68.5,63.1 to 73.4,591
Hep B,≥3 Doses,States/Local Areas,North Dakota,2011,Age,13 Months,86.9,80.7 to 91.4,299
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Poverty,133% to <400% FPL,89.7,86.2 to 93.3,408
Polio,≥2 Doses,States/Local Areas,North Dakota,2015,Age,7 Months,93.8,88.9 to 96.6,217
Polio,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,7 Months,93.3,90.1 to 95.5,444
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Overall,Overall,89.3,86.9 to 91.8,830
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Poverty,<133% FPL,87.3,81.5 to 93.1,155
Polio,≥2 Doses,States/Local Areas,North Dakota,2013,Age,7 Months,85.3,70.7 to 93.3,237
Polio,≥2 Doses,States/Local Areas,North Dakota,2013-2014,Age,7 Months,88.4,83.0 to 92.2,467
Polio,≥2 Doses,States/Local Areas,North Dakota,2014,Age,7 Months,91.2,86.1 to 94.6,230
Polio,≥2 Doses,States/Local Areas,North Dakota,2014-2015,Age,7 Months,92.5,89.2 to 94.9,447
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"White, Non-Hispanic",90,87.3 to 92.7,637
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Principal City,90.2,86.2 to 94.2,285
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Non-Principal City,85.2,78.1 to 92.2,124
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a Non-MSA,90.2,86.9 to 93.5,421
Hep A,≥1 Dose,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",87.6,80.8 to 94.5,123
≥1 Dose Varicella,,States/Local Areas,North Dakota,2015,Age,13 Months,67.5,59.9 to 74.2,217
≥1 Dose Varicella,,States/Local Areas,North Dakota,2015-2016,Age,13 Months,67.8,62.4 to 72.8,444
≥1 Dose Varicella,,States/Local Areas,North Dakota,2017,Age,13 Months,63.9,56.6 to 70.7,298
≥1 Dose Varicella,,States/Local Areas,North Dakota,2017-2018,Age,13 Months,65.2,59.7 to 70.3,591
≥1 Dose Varicella,,States/Local Areas,North Dakota,2016,Age,13 Months,68.1,60.2 to 75.1,227
≥1 Dose Varicella,,States/Local Areas,North Dakota,2016-2017,Age,13 Months,66.1,60.8 to 71.0,525
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017,Age,24 Months,77.2,70.5 to 83.4,298
DTaP,≥4 Doses,States/Local Areas,North Dakota,2017-2018,Age,24 Months,82.2,77.7 to 86.2,591
DTaP,≥4 Doses,States/Local Areas,North Dakota,2018,Age,24 Months,87.5,81.9 to 92.1,293
DTaP,≥4 Doses,States/Local Areas,North Dakota,2018-2019,Age,24 Months,85,80.7 to 88.7,556
DTaP,≥4 Doses,States/Local Areas,North Dakota,2011,Age,35 Months,84.1,76.0 to 90.6,299
DTaP,≥4 Doses,States/Local Areas,North Dakota,2019,Age,24 Months,82.4,75.9 to 88.0,263
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Poverty,<133% FPL,81.7,72.1 to 91.3,155
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Overall,Overall,86.2,82.2 to 90.2,830
Polio,≥2 Doses,States/Local Areas,North Dakota,2019,Age,7 Months,90.5,85.0 to 94.1,263
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Non-Principal City,79.9,69.5 to 90.4,124
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a Non-MSA,82.7,76.3 to 89.0,421
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"White, Non-Hispanic",86.1,81.5 to 90.7,637
≥1 Dose MMR,,States/Local Areas,North Dakota,2011,Age,13 Months,57.2,50.8 to 63.3,299
≥1 Dose MMR,,States/Local Areas,North Dakota,2012,Age,13 Months,62.7,57.8 to 67.4,294
≥1 Dose MMR,,States/Local Areas,North Dakota,2013,Age,13 Months,60.3,50.5 to 69.3,237
≥1 Dose MMR,,States/Local Areas,North Dakota,2013-2014,Age,13 Months,62.9,61.2 to 64.6,467
Hep A,≥2 Doses,States/Local Areas,North Dakota,2017,Age,35 Months,78.6,70.8 to 85.5,298
Hep A,≥2 Doses,States/Local Areas,North Dakota,2017-2018,Age,35 Months,78.5,72.6 to 83.9,591
Hep A,≥2 Doses,States/Local Areas,North Dakota,2018,Age,35 Months,78.3,69.2 to 86.2,293
Hep A,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,35 Months,82.5,76.5 to 87.7,556
Hep B,≥3 Doses,States/Local Areas,North Dakota,2014,Age,13 Months,91.6,86.8 to 94.8,230
Hep B,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,13 Months,93.5,90.6 to 95.5,447
Hep B,≥3 Doses,States/Local Areas,North Dakota,2013,Age,13 Months,88.3,68.8 to 96.3,237
Hep B,≥3 Doses,States/Local Areas,North Dakota,2013-2014,Age,13 Months,90.1,82.9 to 94.4,467
DTaP,≥4 Doses,States/Local Areas,North Dakota,2013,Age,35 Months,83,75.4 to 89.3,237
DTaP,≥4 Doses,States/Local Areas,North Dakota,2013-2014,Age,35 Months,88.8,84.3 to 92.5,467
Hep B,≥3 Doses,States/Local Areas,North Dakota,2012,Age,13 Months,89.2,85.0 to 92.3,294
Hep A,≥2 Doses,States/Local Areas,North Dakota,2019,Age,35 Months,86.8,79.0 to 92.8,263
DTaP,≥4 Doses,States/Local Areas,North Dakota,2014,Age,35 Months,94,89.0 to 97.2,230
DTaP,≥4 Doses,States/Local Areas,North Dakota,2014-2015,Age,35 Months,92.6,89.2 to 95.3,447
DTaP,≥4 Doses,States/Local Areas,North Dakota,2012,Age,35 Months,87.2,80.6 to 92.3,294
≥1 Dose Varicella,,States/Local Areas,North Dakota,2018,Age,13 Months,66.6,58.3 to 74.0,293
≥1 Dose Varicella,,States/Local Areas,North Dakota,2018-2019,Age,13 Months,67.5,61.8 to 72.6,556
≥1 Dose MMR,,States/Local Areas,North Dakota,2016,Age,13 Months,68.5,60.7 to 75.5,227
≥1 Dose MMR,,States/Local Areas,North Dakota,2016-2017,Age,13 Months,67.8,62.6 to 72.7,525
PCV,≥4 Doses,States/Local Areas,North Dakota,2020,Age,35 Months,82.5,75.0 to 88.8,248
≥1 Dose Varicella,,States/Local Areas,North Dakota,2012,Age,19 Months,88.7,86.3 to 90.7,294
≥1 Dose Varicella,,States/Local Areas,North Dakota,2011,Age,19 Months,83.2,80.2 to 85.9,299
≥1 Dose Varicella,,States/Local Areas,North Dakota,2019,Age,13 Months,68.4,60.7 to 75.2,263
≥1 Dose MMR,,States/Local Areas,North Dakota,2015,Age,13 Months,71.5,64.3 to 77.8,217
≥1 Dose MMR,,States/Local Areas,North Dakota,2015-2016,Age,13 Months,70.1,64.7 to 74.9,444
≥1 Dose MMR,,States/Local Areas,North Dakota,2014,Age,13 Months,65.4,57.3 to 72.7,230
≥1 Dose MMR,,States/Local Areas,North Dakota,2014-2015,Age,13 Months,68.4,63.0 to 73.4,447
Hep B,≥2 Doses,States/Local Areas,North Dakota,2018,Age,7 Months,95.3,91.6 to 97.4,293
Hep B,≥2 Doses,States/Local Areas,North Dakota,2018-2019,Age,7 Months,95.5,93.2 to 97.1,556
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2019,Age,0-2 Days,86.2,79.1 to 91.2,263
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2018,Age,0-2 Days,84.9,78.3 to 89.7,293
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2018-2019,Age,0-2 Days,85.5,80.8 to 89.2,556
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2017,Age,0-2 Days,81.8,75.1 to 87.0,298
Hep B,"≥1 Dose, 2 Day",States/Local Areas,North Dakota,2017-2018,Age,0-2 Days,83.3,78.8 to 87.0,591
≥1 Dose Varicella,,States/Local Areas,North Dakota,2017,Age,35 Months,92.7,87.6 to 96.2,298
≥1 Dose Varicella,,States/Local Areas,North Dakota,2017-2018,Age,35 Months,95.2,91.9 to 97.4,591
≥1 Dose Varicella,,States/Local Areas,North Dakota,2018,Age,35 Months,97.2,93.4 to 99.1,293
≥1 Dose Varicella,,States/Local Areas,North Dakota,2018-2019,Age,35 Months,94.7,91.4 to 97.0,556
Hep B,≥2 Doses,States/Local Areas,North Dakota,2015,Age,7 Months,96.5,93.6 to 98.1,217
Hep B,≥2 Doses,States/Local Areas,North Dakota,2015-2016,Age,7 Months,95.4,93.0 to 97.0,444
Hep B,≥3 Doses,States/Local Areas,North Dakota,2018,Age,24 Months,95.3,91.6 to 97.7,293
Hep B,≥3 Doses,States/Local Areas,North Dakota,2018-2019,Age,24 Months,95.9,93.6 to 97.5,556
PCV,≥3 Doses,States/Local Areas,North Dakota,2015,Age,13 Months,91.9,87.1 to 95.0,217
PCV,≥3 Doses,States/Local Areas,North Dakota,2015-2016,Age,13 Months,91,87.5 to 93.6,444
PCV,≥3 Doses,States/Local Areas,North Dakota,2014,Age,13 Months,90.7,85.7 to 94.1,230
PCV,≥3 Doses,States/Local Areas,North Dakota,2014-2015,Age,13 Months,91.3,88.0 to 93.8,447
